District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,Route_Link
1,Ballard,KY-310,TURNER LANDING RD,6.0,6.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 17:58:02,2023-07-22 20:02:01,https://goky.ky.gov/?lat=37.131104&lng=-89.0201&zoom=14KY-310
1,Ballard,KY-310,TURNER LANDING RD,6.0,6.0,Road blocked due to flooding at this location.,2023-07-26 12:29:13,2023-07-26 15:10:01,https://goky.ky.gov/?lat=37.131104&lng=-89.0201&zoom=14KY-310
1,Ballard,KY-358,HINKLEVILLE RD,4.0,4.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 18:00:48,2023-07-22 20:06:00,https://goky.ky.gov/?lat=37.046533&lng=-88.933658&zoom=14KY-358
1,Ballard,KY-358,HINKLEVILLE RD,4.0,4.0,Road blocked due to flooding at this location.,2023-07-26 12:31:11,2023-07-26 15:10:01,https://goky.ky.gov/?lat=37.046533&lng=-88.933658&zoom=14KY-358
1,Ballard,KY-473,GAGE RD,2.5,2.5,Roadway blocked due to flooding. Updates as available.,2023-07-19 17:59:39,2023-07-22 20:04:00,https://goky.ky.gov/?lat=37.020247&lng=-88.898133&zoom=14KY-473
1,Ballard,KY-473,GAGE RD,2.5,2.5,Road blocked due to flooding at this location.,2023-07-26 12:30:17,2023-07-26 15:10:01,https://goky.ky.gov/?lat=37.020247&lng=-88.898133&zoom=14KY-473
1,Ballard,KY-473,REFUGE RD,24.0,25.0,Roadway blocked due to flooding. Updates as available.,2023-03-05 01:02:34,2023-03-08 21:40:01,https://goky.ky.gov/?lat=37.156409&lng=-89.007214&zoom=14KY-473
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Roadway blocked due to flooding/washed out culvert. Updates as available.,2023-07-19 11:01:04,2023-07-19 15:10:00,https://goky.ky.gov/?lat=37.016686&lng=-88.955825&zoom=14KY-802
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Roadway blocked due to flooding/emergency repairs. Updates as available.,2023-07-19 11:01:04,2023-07-22 20:00:01,https://goky.ky.gov/?lat=37.016686&lng=-88.955825&zoom=14KY-802
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Road blocked due to flooding.,2023-07-26 12:27:25,2023-07-26 15:10:01,https://goky.ky.gov/?lat=37.016686&lng=-88.955825&zoom=14KY-802
