District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,Route_Link
1,Carlisle,KY-121,KY-121 N,7.3,7.3,Roadway blocked due to flooding. Updates as available,2022-04-12 08:56:00,2022-04-12 10:04:00,https://goky.ky.gov/?lat=36.907913&lng=-88.917011&zoom=14
1,Carlisle,KY-1628,KY-1628,2.0,2.0,Roadway Closed due to Flood damage,2022-04-26 08:11:00,2022-04-26 10:50:00,https://goky.ky.gov/?lat=36.922194&lng=-88.898473&zoom=14
1,Carlisle,KY-1628,KY-1628,2.0,2.0,Roadway blocked due to flood damage. Updates as available.,2022-04-26 08:11:00,2022-04-28 08:02:01,https://goky.ky.gov/?lat=36.922194&lng=-88.898473&zoom=14
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Blocked due to flooding in the area.,2022-01-01 11:37:00,2022-02-18 17:38:00,https://goky.ky.gov/?lat=36.921224&lng=-88.871376&zoom=14
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Roadway blocked due to flooding. Updates as available.,2022-01-09 08:27:00,2022-02-25 15:58:00,https://goky.ky.gov/?lat=36.921224&lng=-88.871376&zoom=14
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Road is blocked due to flooding. Updates as available.,2022-01-09 08:27:00,2022-01-09 18:10:01,https://goky.ky.gov/?lat=36.921224&lng=-88.871376&zoom=14
1,Carlisle,KY-1628,KY-1628,3.0,4.0,Road blocked due to flooding. Updates as available.,2022-02-18 07:09:00,2022-02-23 16:12:00,https://goky.ky.gov/?lat=36.921224&lng=-88.871376&zoom=14
1,Carlisle,KY-1820,KY-1820,1.0,3.0,Roadway blocked due to flooding. Updates as available.,2022-01-01 11:36:00,2022-02-25 15:58:00,https://goky.ky.gov/?lat=36.935156&lng=-88.88507&zoom=14
1,Carlisle,KY-1820,KY-1820,1.0,3.0,Blocked due to flooding in the area.,2022-01-01 11:36:00,2022-01-02 21:44:00,https://goky.ky.gov/?lat=36.935156&lng=-88.88507&zoom=14
1,Carlisle,KY-1820,KY-1820,1.0,3.0,Road is blocked due to flooding. Updates as available.,2022-01-09 08:26:00,2022-01-09 18:08:01,https://goky.ky.gov/?lat=36.935156&lng=-88.88507&zoom=14
1,Carlisle,KY-1820,KY-1820,1.0,3.0,Road blocked due to flooding. Updates as available.,2022-02-22 16:51:00,2022-02-23 16:14:01,https://goky.ky.gov/?lat=36.935156&lng=-88.88507&zoom=14
1,Carlisle,KY-307,KY-307,7.2,7.2,ROAD BLOCKED TO HIGH WATER,2022-04-06 08:13:00,2022-04-06 12:16:01,https://goky.ky.gov/?lat=36.877816&lng=-88.862246&zoom=14
1,Carlisle,KY-80,KY-80 W,2.8,2.8,road blocked due to high water,2022-04-06 07:31:00,2022-04-06 12:16:01,https://goky.ky.gov/?lat=36.788629&lng=-89.015263&zoom=14
1,Carlisle,US-62,US-62,0.0,6.0,Road is blocked due to flooding. Updates as available.,2022-01-09 08:20:00,2022-01-09 10:32:00,https://goky.ky.gov/?lat=36.892297&lng=-88.966634&zoom=14
1,Carlisle,US-62,US-62,4.0,6.0,Road closed due to flooding. Updates as available.,2022-01-01 15:52:00,2022-01-02 09:26:00,https://goky.ky.gov/?lat=36.907393&lng=-88.935914&zoom=14
1,Carlisle,US-62,US-62,4.0,5.0,Road is blocked due to flooding. Updates as available.,2022-01-09 08:20:00,2022-01-09 18:08:01,https://goky.ky.gov/?lat=36.903716&lng=-88.943648&zoom=14
1,Carlisle,US-62,US-62,4.0,5.0,Roadway blocked due to flooding. Updates as available.,2022-01-09 08:20:00,2022-04-14 15:08:00,https://goky.ky.gov/?lat=36.903716&lng=-88.943648&zoom=14
1,Carlisle,US-62,US-62,4.0,5.0,Road blocked due to flooding. Updates as available.,2022-02-22 17:33:00,2022-04-07 08:34:01,https://goky.ky.gov/?lat=36.903716&lng=-88.943648&zoom=14
1,Carlisle,US-62,US-62,4.0,5.0,Water Over Road,2022-03-07 05:54:00,2022-03-07 06:12:00,https://goky.ky.gov/?lat=36.903716&lng=-88.943648&zoom=14
1,Crittenden,KY-135,KY-135,4.5,4.5,Roadway blocked due to flooding. Updates as available.,2022-03-01 10:00:00,2022-03-08 09:12:11,https://goky.ky.gov/?lat=37.42663&lng=-88.281778&zoom=14
1,Crittenden,KY-855,KY-855 N,5.0,5.0,Roadway blocked due to flooding. Updates as available.,2022-02-17 16:00:00,2022-02-18 08:56:00,https://goky.ky.gov/?lat=37.239678&lng=-88.157955&zoom=14
1,Crittenden,KY-902,KY-902,5.0,5.0,Roadway blocked due to flooding. Updates as available.,2022-02-17 16:00:00,2022-02-18 08:56:00,https://goky.ky.gov/?lat=37.182167&lng=-88.099146&zoom=14
1,Crittenden,KY-91,KY-91 N,5.1,5.2,Blocked in both directions over Crooked Creek in Marion due to bridge surface collapse.,2022-02-17 17:46:00,2022-02-21 16:34:00,https://goky.ky.gov/?lat=37.334882&lng=-88.092769&zoom=14
1,Crittenden,KY-91,KY-91 N,15.0,15.8,Road blocked due to flooding. Updates as available.,2022-02-25 22:03:00,2022-02-26 12:04:00,https://goky.ky.gov/?lat=37.454589&lng=-88.163887&zoom=14
1,Crittenden,KY-91,KY-91 N,15.0,15.8,Roadway blocked due to flooding. Updates as available.,2022-02-25 22:03:00,2022-03-11 17:58:01,https://goky.ky.gov/?lat=37.454589&lng=-88.163887&zoom=14
