District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,latitude,longitude,Duration_Default,Duration_Hours
11,Leslie,KY-2009,GREASY CREEK RD,13.0,,Road blocked due to a rockslide.  Seek an alternate route.,2022-12-15 21:32:40,2022-12-16 14:00:01,37.058154,-83.372533,0 days 16:27:21,16.4558
6,Campbell,I-471,I-471,1.1,1.2,Lane blocked due to flooding at this location.,2022-11-11 08:19:33,2022-11-12 05:50:00,39.057956,-84.46935,0 days 21:30:27,21.5075
5,Jefferson,I-64,I-64,19.6,19.7,,2022-11-11 08:41:06,2022-11-11 08:52:00,38.222243,-85.493266,0 days 00:10:54,0.1817
5,Franklin,KY-1659,GLENNS CREEK RD,1.0,2.0,Both directions blocked between Glenns Creek Rd and and Harrod Carter Concrete. Motorists may detourvia KY 1681(Duncan Road) to U.S. 60 (Versailles Road) to  KY 676 (East-West Connector) .,2022-05-27 17:52:00,2022-11-01 00:28:00,38.165128,-84.853081,157 days 06:36:00,3774.6
10,Perry,KY-1087,BALLS FORK RD,1.2,1.2,Road blocked due to flood damage. Updates as available.,2022-07-31 19:44:00,2022-09-06 10:08:00,37.384076,-83.132323,36 days 14:24:00,878.4
10,Perry,KY-267,SIXTEENMILE CREEK RD,8.5,8.5,Lane blocked for cleanup efforts. Expect delays.,2022-08-08 10:57:00,2022-09-06 09:54:01,37.356738,-83.223907,28 days 22:57:01,694.9503
5,Franklin,KY-1005,DEVILS HOLLOW RD,1.8,1.9,ROADWAY WASHED OUT DUE TO FLOODING,2022-09-03 22:52:43,2022-09-06 09:00:01,38.212213,-84.979401,2 days 10:07:18,58.1217
10,Perry,KY-267,SIXTEENMILE CREEK RD,8.5,8.5,All lanes blocked. Traffic can use KY 15 or KY 476 to bypass either side of the closure,2022-08-08 10:57:00,2022-08-23 20:30:00,37.356738,-83.223907,15 days 09:33:00,369.55
5,Franklin,KY-1659,GLENNS CREEK RD,1.0,2.0,Road blocked between Glenns Creek Rd and and Harrod Carter Concrete. Detour in place.,2022-05-27 17:52:00,2022-08-20 23:34:00,38.165128,-84.853081,85 days 05:42:00,2045.7
8,Lincoln,KY-328,KY-328 W,1.3,2.0,Road blocked due to flooding. Updates as available.,2022-08-10 19:33:34,2022-08-16 17:42:01,37.264654,-84.716133,5 days 22:08:27,142.1408
7,Boyle,US-68,US-68 WEST,5.0,5.6,Road blocked due to flooding. Updates as available.,2022-08-10 18:05:17,2022-08-15 14:30:01,37.63368,-84.959418,4 days 20:24:44,116.4122
2,Caldwell,KY-293,N JEFFERSON ST,6.3,6.2,Both Directions Blocked Between McGoodwin St. and Green St.,2022-08-10 20:27:26,2022-08-15 11:26:00,37.115287,-87.877974,4 days 14:58:34,110.9761
8,Rockcastle,KY-1912,CLIMAX RD,4.0,5.0,Road blocked due to flooding. Updates as available.,2022-08-10 20:31:20,2022-08-11 08:42:01,37.423615,-84.247247,0 days 12:10:41,12.1781
12,Pike,KY-197,KY-197,16.0,16.0,Reduced to one lane.,2022-08-05 11:20:00,2022-08-09 11:10:07,37.296663,-82.357472,3 days 23:50:07,95.8353
